capital_change,event_type,talent_value
-1.0,unlucky,0.7454724966284296
0.0,unlucky,0.5711583391471966
0.0,unlucky,0.639385719036854
-0.5,unlucky,0.42266083273996763
5.0,lucky,0.7744770652611116
4.0,lucky,0.760334960225036
4.0,lucky,0.5655451092972921
20.0,lucky,0.8485314868663625
1.0,lucky,0.667551106315344
1.0,lucky,0.8266312320241544
0.0,unlucky,0.5547437488322823
-0.5,unlucky,0.5833673627233299
0.0,unlucky,0.6644145576379148
0.0,unlucky,0.6162757738961784
0.0,unlucky,0.6644145576379148
-1.0,unlucky,0.5606892418584912
-5.0,unlucky,0.5729261225476586
10.0,lucky,0.6587613328904643
10.0,lucky,0.7744770652611116
-4.0,unlucky,0.5433855133965997
0.0,unlucky,0.5547437488322823
-32.0,unlucky,0.5263139882962876
20.0,lucky,0.6587613328904643
0.0,lucky,0.5833673627233299
10.0,lucky,0.611115379506361
2.0,lucky,0.8266312320241544
-1.0,unlucky,0.5114738156629044
0.0,unlucky,0.6644145576379148
-4.0,unlucky,0.5909577296435249
-2.0,unlucky,0.3862652791750607
0.0,unlucky,0.5833673627233299
0.0,unlucky,0.5519685497180618
-1.0,unlucky,0.631412877224479
-4.0,unlucky,0.760334960225036
-4.0,unlucky,0.5655451092972921
4.0,lucky,0.7102825816851016
80.0,lucky,0.5759336239622259
-0.5,unlucky,0.6466857879738467
-2.0,unlucky,0.47423400918219566
-4.0,unlucky,0.57906497864431
-2.5,unlucky,0.5729261225476586
0.0,unlucky,0.6644145576379148
-40.0,unlucky,0.6054904880358961
0.0,unlucky,0.7471314137033332
0.0,unlucky,0.7929188047595209
-5.0,unlucky,0.6990936675104242
40.0,lucky,0.8401752709670891
20.0,lucky,0.555405631802891
1.0,lucky,0.5606892418584912
2.0,lucky,0.5704302008265013
0.0,lucky,0.5867158629553798
0.0,lucky,0.5709463105258009
8.0,lucky,0.7102825816851016
-40.0,unlucky,0.6242718002251384
0.0,unlucky,0.5711583391471966
0.0,unlucky,0.5490988993577467
-80.0,unlucky,0.5759336239622259
-20.0,unlucky,0.6054904880358961
0.0,lucky,0.5547437488322823
80.0,lucky,0.8401752709670891
16.0,lucky,0.6625901990488554
0.0,lucky,0.5490988993577467
-0.5,unlucky,0.7454724966284296
20.0,lucky,0.7324134215793292
-10.0,unlucky,0.6541098895495927
-2.5,unlucky,0.5085735257047825
-5.0,unlucky,0.479814275084664
